"","gene_id","gene_name","entrezid","gene_biotype","gene_seq_start","gene_seq_end","seq_name","seq_strand","seq_coord_system","symbol","SRR1039508","SRR1039509","SRR1039512","SRR1039513","SRR1039516","SRR1039517","SRR1039520","SRR1039521"
"ENSG00000222337","ENSG00000222337","RN7SKP225",NA,"misc_RNA",102046304,102046655,"9",1,NA,"RN7SKP225",0,0,0,0,0,0,0,0
"ENSG00000222338","ENSG00000222338","RNU6-174P",NA,"snRNA",3835388,3835493,"12",-1,NA,"RNU6-174P",0,0,0,0,0,0,0,0
"ENSG00000222339","ENSG00000222339","AP000807.2",NA,"miRNA",68273040,68273119,"11",-1,NA,"AP000807.2",0,0,0,0,0,0,0,0
"ENSG00000222343","ENSG00000222343","RN7SKP139",NA,"misc_RNA",47564794,47565086,"15",1,NA,"RN7SKP139",0,0,0,0,0,0,0,0
"ENSG00000222344","ENSG00000222344","RNU6-613P",NA,"snRNA",230759062,230759169,"2",1,NA,"RNU6-613P",0,0,0,0,0,0,0,0
"ENSG00000222345","ENSG00000222345","SNORD19",NA,"snoRNA",52725394,52725469,"3",1,NA,"SNORD19",3,5,5,5,6,9,2,4
"ENSG00000222346","ENSG00000222346","RNA5SP237",NA,"rRNA",111593708,111593820,"7",-1,NA,"RNA5SP237",0,0,0,0,0,1,0,0
"ENSG00000222348","ENSG00000222348","RNU6-814P",NA,"snRNA",10258896,10259003,"3",1,NA,"RNU6-814P",0,0,0,0,0,0,0,0
"ENSG00000222351","ENSG00000222351","Y_RNA",NA,"misc_RNA",125708267,125708373,"9",-1,NA,"Y_RNA",0,0,0,0,0,0,0,0
"ENSG00000222352","ENSG00000222352","RN7SKP221",NA,"misc_RNA",21899633,21899933,"22",-1,NA,"RN7SKP221",0,0,0,0,0,0,0,0
"ENSG00000222355","ENSG00000222355","RNU2-29P",NA,"snRNA",53843829,53844017,"7",1,NA,"RNU2-29P",0,0,0,0,0,0,0,0
"ENSG00000222356","ENSG00000222356","RNU6-710P",NA,"snRNA",114758915,114759019,"9",-1,NA,"RNU6-710P",0,0,0,0,0,0,0,0
"ENSG00000222357","ENSG00000222357","RNU2-20P",NA,"snRNA",168192986,168193176,"3",1,NA,"RNU2-20P",0,0,0,0,0,0,0,0
"ENSG00000222359","ENSG00000222359","RNU6-355P",NA,"snRNA",90211000,90211103,"16",1,NA,"RNU6-355P",0,0,0,0,0,0,0,0
"ENSG00000222361","ENSG00000222361","RNU6-1186P",NA,"snRNA",98617896,98617992,"15",-1,NA,"RNU6-1186P",0,0,0,0,0,0,0,0
"ENSG00000222363","ENSG00000222363","RNU4-34P",NA,"snRNA",27715578,27715701,"17",1,NA,"RNU4-34P",0,0,0,0,0,0,0,0
"ENSG00000222364","ENSG00000222364","RNU6-96P",NA,"snRNA",65860178,65860273,"7",1,NA,"RNU6-96P",0,1,0,0,0,1,0,2
"ENSG00000222365","ENSG00000222365","SNORD12B",NA,"snoRNA",47896856,47896946,"20",1,NA,"SNORD12B",3,3,5,1,3,4,3,1
"ENSG00000222370","ENSG00000222370","SNORA36B",NA,"snoRNA",220373888,220374018,"1",-1,NA,"SNORA36B",0,0,0,1,0,1,1,0
"ENSG00000222371","ENSG00000222371","RN7SKP202",NA,"misc_RNA",69917836,69918165,"10",1,NA,"RN7SKP202",0,0,0,0,0,0,0,0
"ENSG00000222373","ENSG00000222373","RNY5P5",NA,"misc_RNA",25192641,25192718,"6",1,NA,"RNY5P5",0,0,0,0,0,0,0,0
"ENSG00000222374","ENSG00000222374","AC022021.1",NA,"miRNA",28599782,28599888,"10",1,NA,"AC022021.1",0,0,0,0,0,0,0,0
"ENSG00000222375","ENSG00000222375","RN7SKP127",NA,"misc_RNA",29742372,29742725,"16",-1,NA,"RN7SKP127",0,0,0,0,0,0,0,0
"ENSG00000222376","ENSG00000222376","RN7SKP152",NA,"misc_RNA",167037162,167037476,"2",-1,NA,"RN7SKP152",0,0,0,0,0,0,0,0
"ENSG00000222378","ENSG00000222378","RNA5SP44",NA,"rRNA",39619836,39619968,"1",-1,NA,"RNA5SP44",0,0,0,0,0,0,0,0
"ENSG00000222383","ENSG00000222383","RNA5SP203",NA,"rRNA",10753024,10753159,"6",-1,NA,"RNA5SP203",3,1,3,0,1,0,1,1
"ENSG00000222385","ENSG00000222385","RN7SKP158",NA,"misc_RNA",28282741,28283066,"11",-1,NA,"RN7SKP158",0,0,0,0,0,0,0,0
"ENSG00000222386","ENSG00000222386","RN7SKP86",NA,"misc_RNA",103124655,103124986,"7",-1,NA,"RN7SKP86",0,0,0,0,0,0,0,0
"ENSG00000222389","ENSG00000222389","RNU2-28P",NA,"snRNA",81558627,81558815,"3",1,NA,"RNU2-28P",1,3,0,1,4,6,1,3
"ENSG00000222391","ENSG00000222391","AL137118.1",NA,"miRNA",49326225,49326292,"13",-1,NA,"AL137118.1",0,0,0,0,0,0,0,0
"ENSG00000222394","ENSG00000222394","Y_RNA",NA,"misc_RNA",138472902,138473011,"2",1,NA,"Y_RNA",0,0,0,0,0,0,0,0
"ENSG00000222395","ENSG00000222395","Y_RNA",NA,"misc_RNA",29843098,29843201,"18",-1,NA,"Y_RNA",0,0,0,0,0,0,0,0
"ENSG00000222397","ENSG00000222397","RN7SKP229",NA,"misc_RNA",181808608,181808909,"1",-1,NA,"RN7SKP229",0,0,0,0,0,0,0,0
"ENSG00000222398","ENSG00000222398","RNU6-554P",NA,"snRNA",43894741,43894846,"15",1,NA,"RNU6-554P",0,0,0,0,0,0,0,0
"ENSG00000222399","ENSG00000222399","RNU6-791P",NA,"snRNA",222676974,222677077,"1",-1,NA,"RNU6-791P",0,0,0,0,0,0,0,0
"ENSG00000222404","ENSG00000222404","RN7SKP281",NA,"misc_RNA",158155319,158155670,"2",-1,NA,"RN7SKP281",1,0,0,0,1,4,0,1
"ENSG00000222405","ENSG00000222405","RNU4-65P",NA,"snRNA",70837564,70837703,"12",-1,NA,"RNU4-65P",0,0,0,0,0,0,0,0
"ENSG00000222406","ENSG00000222406","RNA5SP314",NA,"rRNA",48931789,48931904,"10",1,NA,"RNA5SP314",4,0,5,1,4,8,5,3
"ENSG00000222407","ENSG00000222407","RNA5SP80",NA,"rRNA",231417160,231417270,"1",-1,NA,"RNA5SP80",0,0,0,0,0,0,0,0
"ENSG00000222408","ENSG00000222408","AL160279.1",NA,"miRNA",90359816,90359908,"9",-1,NA,"AL160279.1",0,0,0,0,0,0,0,0
"ENSG00000222409","ENSG00000222409","AC103996.1",NA,"miRNA",94440141,94440256,"15",-1,NA,"AC103996.1",0,0,0,0,0,0,0,0
"ENSG00000222411","ENSG00000222411","RNY5P3",NA,"misc_RNA",170559884,170559961,"3",-1,NA,"RNY5P3",0,0,0,0,0,0,0,0
"ENSG00000222412","ENSG00000222412","Y_RNA",NA,"misc_RNA",32044970,32045064,"10",-1,NA,"Y_RNA",0,0,0,0,0,0,0,0
"ENSG00000222413","ENSG00000222413","RN7SKP125",NA,"misc_RNA",120039264,120039565,"9",1,NA,"RN7SKP125",0,0,0,0,0,0,0,0
"ENSG00000222414","ENSG00000222414","RNU2-59P",NA,"snRNA",103124602,103124792,"10",-1,NA,"RNU2-59P",1,1,0,0,1,4,0,0
"ENSG00000222416","ENSG00000222416","RNA5SP274",NA,"rRNA",94453505,94453612,"8",1,NA,"RNA5SP274",0,0,0,0,0,0,0,0
"ENSG00000222418","ENSG00000222418","RNA5SP113",NA,"rRNA",182913549,182913632,"2",1,NA,"RNA5SP113",0,0,0,0,0,0,0,0
"ENSG00000222419","ENSG00000222419","RNA5SP511",NA,"rRNA",103105726,103105840,"X",-1,NA,"RNA5SP511",0,0,0,0,0,0,0,0
"ENSG00000222421","ENSG00000222421","Y_RNA",NA,"misc_RNA",130594914,130595022,"9",-1,NA,"Y_RNA",0,0,0,1,0,0,0,0
"ENSG00000222426","ENSG00000222426","RNU2-50P",NA,"snRNA",34282526,34282668,"9",-1,NA,"RNU2-50P",0,0,0,0,0,0,0,0
"ENSG00000222427","ENSG00000222427","RNA5SP338",NA,"rRNA",22709897,22709981,"11",1,NA,"RNA5SP338",0,0,0,0,0,0,0,0
"ENSG00000222428","ENSG00000222428","RNA5SP231",NA,"rRNA",68188898,68189035,"7",-1,NA,"RNA5SP231",0,0,0,0,0,0,0,0
"ENSG00000222429","ENSG00000222429","RNU6-955P",NA,"snRNA",4523044,4523147,"17",-1,NA,"RNU6-955P",0,0,0,0,0,0,0,0
"ENSG00000222430","ENSG00000222430","Y_RNA",NA,"misc_RNA",103712362,103712461,"10",-1,NA,"Y_RNA",0,0,0,0,0,0,0,0
"ENSG00000222431","ENSG00000222431","RNU6-141P",NA,"snRNA",20452600,20452704,"6",-1,NA,"RNU6-141P",0,0,1,0,0,0,0,0
"ENSG00000222432","ENSG00000222432","Y_RNA",NA,"misc_RNA",77525197,77525309,"7",1,NA,"Y_RNA",0,0,0,0,0,0,0,0
"ENSG00000222436","ENSG00000222436","RN7SKP278",NA,"misc_RNA",110700727,110701068,"10",-1,NA,"RN7SKP278",0,0,0,0,0,0,0,0
"ENSG00000222437","ENSG00000222437","AC118282.3",NA,"miRNA",49199220,49199301,"4",1,NA,"AC118282.3",1,0,0,0,0,0,0,0
"ENSG00000222438","ENSG00000222438","RNU6-1077P",NA,"snRNA",131354281,131354382,"12",-1,NA,"RNU6-1077P",0,0,0,0,0,0,0,0
"ENSG00000222439","ENSG00000222439","RNU6-994P",NA,"snRNA",61968691,61968801,"20",1,NA,"RNU6-994P",0,0,0,0,0,0,0,0
"ENSG00000222440","ENSG00000222440","RNU2-26P",NA,"snRNA",91053092,91053282,"X",1,NA,"RNU2-26P",0,0,0,0,0,0,0,0
"ENSG00000222445","ENSG00000222445","RN7SKP56",NA,"misc_RNA",126196314,126196644,"6",1,NA,"RN7SKP56",0,0,0,0,0,0,0,1
"ENSG00000222448","ENSG00000222448","RN7SKP150",NA,"misc_RNA",179272832,179273152,"5",1,NA,"RN7SKP150",2,2,1,1,3,4,1,0
"ENSG00000222449","ENSG00000222449","RNU6-1140P",NA,"snRNA",238471808,238471913,"2",1,NA,"RNU6-1140P",0,0,0,0,0,0,0,0
"ENSG00000222451","ENSG00000222451","RN7SKP143",NA,"misc_RNA",91923408,91923717,"10",-1,NA,"RN7SKP143",0,0,0,0,0,0,0,0
"ENSG00000222452","ENSG00000222452","RN7SKP59",NA,"misc_RNA",80780381,80780694,"9",1,NA,"RN7SKP59",0,0,0,1,0,0,1,0
"ENSG00000222455","ENSG00000222455","RNA5SP296",NA,"rRNA",130603391,130603501,"9",-1,NA,"RNA5SP296",0,0,0,0,0,0,3,1
"ENSG00000222457","ENSG00000222457","RNU6-121P",NA,"snRNA",154270126,154270224,"1",1,NA,"RNU6-121P",0,0,0,0,0,0,0,0
"ENSG00000222459","ENSG00000222459","RNA5SP293",NA,"rRNA",110681147,110681259,"9",-1,NA,"RNA5SP293",0,0,0,0,0,0,0,0
"ENSG00000222460","ENSG00000222460","RN7SKP271",NA,"misc_RNA",34231065,34231384,"20",1,NA,"RN7SKP271",0,1,1,1,2,0,0,1
"ENSG00000222463","ENSG00000222463","AP005138.1",NA,"miRNA",4988091,4988168,"18",-1,NA,"AP005138.1",0,0,0,0,0,0,0,0
"ENSG00000222465","ENSG00000222465","RNU2-5P",NA,"snRNA",72803487,72803666,"9",-1,NA,"RNU2-5P",0,0,1,0,0,2,1,0
"ENSG00000222467","ENSG00000222467","Y_RNA",NA,"misc_RNA",122360649,122360740,"2",-1,NA,"Y_RNA",0,0,0,0,0,0,0,1
"ENSG00000222468","ENSG00000222468","RNA5SP261",NA,"rRNA",31455615,31455720,"8",-1,NA,"RNA5SP261",0,0,0,0,0,0,0,0
"ENSG00000222472","ENSG00000222472","RN7SKP7",NA,"misc_RNA",97601503,97601787,"13",-1,NA,"RN7SKP7",0,0,0,0,0,0,0,0
"ENSG00000222477","ENSG00000222477","RNU2-23P",NA,"snRNA",64915055,64915249,"11",1,NA,"RNU2-23P",0,0,0,0,0,0,0,0
"ENSG00000222481","ENSG00000222481","AC012150.1",NA,"miRNA",29273716,29273815,"12",-1,NA,"AC012150.1",0,0,0,0,0,0,0,0
"ENSG00000222482","ENSG00000222482","AC005071.1",NA,"miRNA",99817650,99817743,"7",-1,NA,"AC005071.1",0,0,0,0,0,0,0,0
"ENSG00000222486","ENSG00000222486","RNU6-77P",NA,"snRNA",81839882,81839972,"13",1,NA,"RNU6-77P",0,0,0,0,0,0,0,0
"ENSG00000222488","ENSG00000222488","RNU6-285P",NA,"snRNA",73931180,73931279,"8",-1,NA,"RNU6-285P",0,0,0,0,0,0,0,0
"ENSG00000222489","ENSG00000222489","SNORA79",NA,"snoRNA",20791338,20791485,"14",-1,NA,"SNORA79",1,1,3,2,0,1,0,1
"ENSG00000222490","ENSG00000222490","RNU6-712P",NA,"snRNA",90233784,90233883,"3",1,NA,"RNU6-712P",0,0,0,0,0,0,0,0
"ENSG00000222492","ENSG00000222492","AC092069.1",NA,"miRNA",13069669,13069761,"19",1,NA,"AC092069.1",0,0,0,0,0,0,0,0
"ENSG00000222493","ENSG00000222493","Y_RNA",NA,"misc_RNA",2969115,2969199,"12",1,NA,"Y_RNA",0,1,0,0,0,1,0,0
"ENSG00000222494","ENSG00000222494","AC091178.1",NA,"miRNA",37237318,37237440,"17",1,NA,"AC091178.1",0,0,0,0,0,0,0,0
"ENSG00000222496","ENSG00000222496","RN7SKP200",NA,"misc_RNA",207086039,207086358,"2",1,NA,"RN7SKP200",0,0,0,0,0,0,0,0
"ENSG00000222499","ENSG00000222499","RN7SKP177",NA,"misc_RNA",156735131,156735485,"3",1,NA,"RN7SKP177",0,0,0,0,1,0,0,0
"ENSG00000222500","ENSG00000222500","RNA5SP475",NA,"rRNA",15261410,15261519,"20",-1,NA,"RNA5SP475",0,0,0,0,0,0,0,0
"ENSG00000222501","ENSG00000222501","RNU4-25P",NA,"snRNA",129022628,129022857,"8",-1,NA,"RNU4-25P",0,0,0,0,0,0,0,0
"ENSG00000222503","ENSG00000222503","Y_RNA",NA,"misc_RNA",105432916,105433023,"10",1,NA,"Y_RNA",0,1,0,0,0,0,0,0
"ENSG00000222506","ENSG00000222506","Y_RNA",NA,"misc_RNA",171157315,171157416,"3",1,NA,"Y_RNA",0,0,0,0,0,0,0,0
"ENSG00000222509","ENSG00000222509","Y_RNA",NA,"misc_RNA",171639677,171639781,"2",1,NA,"Y_RNA",0,0,0,0,0,0,0,0
"ENSG00000222511","ENSG00000222511","Y_RNA",NA,"misc_RNA",8856633,8856731,"1",-1,NA,"Y_RNA",0,0,0,0,0,1,0,0
"ENSG00000222512","ENSG00000222512","AL137019.1",NA,"miRNA",111121132,111121209,"9",-1,NA,"AL137019.1",0,0,0,0,0,0,0,0
"ENSG00000222514","ENSG00000222514","RN7SKP223",NA,"misc_RNA",137776000,137776061,"7",1,NA,"RN7SKP223",0,0,0,0,0,0,0,0
"ENSG00000222515","ENSG00000222515","RN7SKP240",NA,"misc_RNA",22085773,22086147,"6",1,NA,"RN7SKP240",0,0,0,0,0,0,0,0
"ENSG00000222518","ENSG00000222518","AL645819.1",NA,"miRNA",124796899,124796989,"X",1,NA,"AL645819.1",0,0,0,0,0,0,0,0
"ENSG00000222520","ENSG00000222520","RNA5SP451",NA,"rRNA",19508946,19509055,"18",-1,NA,"RNA5SP451",0,0,0,0,0,0,0,0
"ENSG00000222521","ENSG00000222521","AC026956.1",NA,"miRNA",82336635,82336717,"15",1,NA,"AC026956.1",0,0,0,0,0,0,0,0
"ENSG00000222522","ENSG00000222522","RNU6-519P",NA,"snRNA",48891974,48892081,"8",1,NA,"RNU6-519P",0,0,0,0,0,0,0,0
"ENSG00000222524","ENSG00000222524","RN7SKP109",NA,"misc_RNA",56248651,56248966,"19",1,NA,"RN7SKP109",0,0,0,0,0,0,0,0
"ENSG00000222526","ENSG00000222526","AC060835.1",NA,"miRNA",138149282,138149385,"4",1,NA,"AC060835.1",0,0,0,0,0,0,0,0
"ENSG00000222529","ENSG00000222529","Y_RNA",NA,"misc_RNA",118841208,118841305,"11",1,NA,"Y_RNA",0,0,0,0,0,0,0,0
"ENSG00000222532","ENSG00000222532","MIR1468",NA,"miRNA",63005882,63005967,"X",-1,NA,"MIR1468",0,0,0,0,0,0,0,0
"ENSG00000222533","ENSG00000222533","RNU6-705P",NA,"snRNA",180728968,180729071,"5",1,NA,"RNU6-705P",0,0,0,1,2,1,2,0
"ENSG00000222536","ENSG00000222536","RNU2-39P",NA,"snRNA",72948935,72949132,"2",1,NA,"RNU2-39P",0,0,0,0,0,0,0,0
"ENSG00000222543","ENSG00000222543","RN7SKP220",NA,"misc_RNA",25682486,25682773,"10",-1,NA,"RN7SKP220",0,0,0,0,0,0,0,0
"ENSG00000222544","ENSG00000222544","RNU6-735P",NA,"snRNA",95832513,95832619,"12",-1,NA,"RNU6-735P",0,0,0,0,0,0,0,0
"ENSG00000222545","ENSG00000222545","AC080037.1",NA,"miRNA",70710522,70710610,"17",-1,NA,"AC080037.1",0,0,0,0,0,0,0,0
"ENSG00000222546","ENSG00000222546","RNA5SP251",NA,"rRNA",3558014,3558150,"8",1,NA,"RNA5SP251",0,0,0,0,0,0,0,0
"ENSG00000222548","ENSG00000222548","AC006534.1",NA,"miRNA",65809698,65809770,"17",1,NA,"AC006534.1",0,0,0,0,0,0,0,0
"ENSG00000222551","ENSG00000222551","AC106732.1",NA,"miRNA",73567507,73567590,"5",-1,NA,"AC106732.1",0,0,0,0,0,0,0,0
"ENSG00000222552","ENSG00000222552","RNA5SP60",NA,"rRNA",159148263,159148349,"1",1,NA,"RNA5SP60",0,0,0,0,0,0,0,0
"ENSG00000222558","ENSG00000222558","RNU6-1064P",NA,"snRNA",110560025,110560128,"9",-1,NA,"RNU6-1064P",0,0,0,0,0,0,0,0
"ENSG00000222560","ENSG00000222560","RNU4-43P",NA,"snRNA",26012998,26013134,"5",1,NA,"RNU4-43P",0,0,0,0,0,0,0,0
"ENSG00000222561","ENSG00000222561","RNU6-1025P",NA,"snRNA",948421,948524,"11",1,NA,"RNU6-1025P",0,0,0,0,0,0,0,0
"ENSG00000222563","ENSG00000222563","RNU6-305P",NA,"snRNA",69307309,69307383,"17",1,NA,"RNU6-305P",0,0,0,0,0,0,0,0
"ENSG00000222570","ENSG00000222570","AF216667.1",NA,"miRNA",133693146,133693248,"8",-1,NA,"AF216667.1",0,0,0,0,0,0,0,0
"ENSG00000222574","ENSG00000222574","RN7SKP61",NA,"misc_RNA",78210849,78211143,"3",1,NA,"RN7SKP61",0,0,0,0,0,0,0,0
"ENSG00000222578","ENSG00000222578","RNA5SP345",NA,"rRNA",95573181,95573288,"11",-1,NA,"RNA5SP345",0,0,0,0,0,1,1,0
"ENSG00000222579","ENSG00000222579","Y_RNA",NA,"misc_RNA",105245602,105245696,"12",1,NA,"Y_RNA",0,0,0,0,0,0,0,0
"ENSG00000222581","ENSG00000222581","RNU2-47P",NA,"snRNA",12300266,12300451,"9",-1,NA,"RNU2-47P",0,0,0,0,0,0,0,0
"ENSG00000222582","ENSG00000222582","RNU2-66P",NA,"snRNA",155708270,155708430,"4",1,NA,"RNU2-66P",0,0,0,0,0,0,0,0
"ENSG00000222583","ENSG00000222583","RN7SKP222",NA,"misc_RNA",191810911,191811225,"3",1,NA,"RN7SKP222",0,0,0,0,0,0,0,0
"ENSG00000222585","ENSG00000222585","RNA5SP494",NA,"rRNA",26111008,26111136,"22",-1,NA,"RNA5SP494",0,0,0,0,0,0,0,0
"ENSG00000222586","ENSG00000222586","AC010999.1",NA,"miRNA",57258523,57258595,"15",-1,NA,"AC010999.1",0,0,0,0,0,1,0,0
"ENSG00000222588","ENSG00000222588","SNORA19",NA,"snoRNA",120820495,120820623,"10",-1,NA,"SNORA19",0,0,0,0,0,0,0,0
"ENSG00000222589","ENSG00000222589","RN7SKP159",NA,"misc_RNA",5768467,5768758,"8",-1,NA,"RN7SKP159",0,0,0,0,0,0,0,0
"ENSG00000222591","ENSG00000222591","AC118345.2",NA,"miRNA",66466632,66466786,"2",-1,NA,"AC118345.2",0,0,0,0,0,0,0,0
"ENSG00000222592","ENSG00000222592","RNU6-887P",NA,"snRNA",39400769,39400868,"4",1,NA,"RNU6-887P",0,0,0,0,0,0,0,0
"ENSG00000222594","ENSG00000222594","RN7SKP235",NA,"misc_RNA",145956284,145956588,"4",1,NA,"RN7SKP235",0,0,0,0,0,0,0,0
"ENSG00000222596","ENSG00000222596","AL445523.1",NA,"miRNA",64435117,64435222,"X",1,NA,"AL445523.1",0,0,0,0,0,0,0,0
"ENSG00000222598","ENSG00000222598","RNU2-49P",NA,"snRNA",115110016,115110199,"5",-1,NA,"RNU2-49P",0,0,0,0,0,0,0,0
"ENSG00000222601","ENSG00000222601","Y_RNA",NA,"misc_RNA",120942374,120942462,"12",-1,NA,"Y_RNA",0,0,1,0,0,0,0,0
"ENSG00000222602","ENSG00000222602","AL136160.1",NA,"miRNA",37302739,37302829,"13",-1,NA,"AL136160.1",0,0,0,0,0,0,0,0
"ENSG00000222604","ENSG00000222604","SNORA7",NA,"snoRNA",75178654,75178748,"14",1,NA,"SNORA7",0,0,1,0,0,0,0,0
"ENSG00000222607","ENSG00000222607","RNU6-628P",NA,"snRNA",124275083,124275189,"8",1,NA,"RNU6-628P",0,1,0,0,0,0,0,0
"ENSG00000222608","ENSG00000222608","RNA5SP504",NA,"rRNA",52694281,52694397,"X",1,NA,"RNA5SP504",0,0,0,0,0,0,0,0
"ENSG00000222609","ENSG00000222609","RNU4-69P",NA,"snRNA",120046393,120046535,"5",-1,NA,"RNU4-69P",0,0,0,0,0,0,0,0
"ENSG00000222610","ENSG00000222610","RNU6-402P",NA,"snRNA",98225435,98225537,"5",1,NA,"RNU6-402P",0,0,0,0,0,0,0,0
"ENSG00000222611","ENSG00000222611","AL355388.1",NA,"miRNA",156047164,156047245,"1",1,NA,"AL355388.1",0,0,0,0,0,0,0,0
"ENSG00000222612","ENSG00000222612","RNU2-52P",NA,"snRNA",39652845,39653034,"20",1,NA,"RNU2-52P",2,2,1,1,1,1,0,0
"ENSG00000222613","ENSG00000222613","Y_RNA",NA,"misc_RNA",141700193,141700295,"4",-1,NA,"Y_RNA",0,0,0,0,0,0,0,0
"ENSG00000222614","ENSG00000222614","Y_RNA",NA,"misc_RNA",47239569,47239676,"19",1,NA,"Y_RNA",0,0,0,0,0,2,0,0
"ENSG00000222615","ENSG00000222615","AC134025.1",NA,"miRNA",70300794,70300896,"3",-1,NA,"AC134025.1",0,0,0,0,0,0,0,0
"ENSG00000222616","ENSG00000222616","RN7SKP27",NA,"misc_RNA",23084424,23084756,"2",1,NA,"RN7SKP27",0,0,0,0,0,0,0,0
"ENSG00000222617","ENSG00000222617","RN7SKP254",NA,"misc_RNA",97029812,97030121,"15",1,NA,"RN7SKP254",0,0,0,0,0,0,0,0
"ENSG00000222623","ENSG00000222623","RNU6-1100P",NA,"snRNA",157784,157887,"1",-1,NA,"RNU6-1100P",0,0,0,0,0,0,0,0
"ENSG00000222624","ENSG00000222624","RNU2-15P",NA,"snRNA",65881499,65881689,"1",1,NA,"RNU2-15P",0,0,0,0,0,0,0,0
"ENSG00000222626","ENSG00000222626","RNU2-48P",NA,"snRNA",157403774,157403964,"5",-1,NA,"RNU2-48P",0,0,0,0,0,0,0,0
"ENSG00000222627","ENSG00000222627","RNU2-37P",NA,"snRNA",127793916,127794092,"3",-1,NA,"RNU2-37P",0,0,0,0,0,1,0,0
"ENSG00000222629","ENSG00000222629","RNU2-42P",NA,"snRNA",127579135,127579247,"10",-1,NA,"RNU2-42P",0,0,0,0,1,0,1,0
"ENSG00000222630","ENSG00000222630","RN7SKP41",NA,"misc_RNA",43236787,43237091,"8",1,NA,"RN7SKP41",0,0,0,0,0,0,0,0
"ENSG00000222631","ENSG00000222631","AC025426.1",NA,"miRNA",71572451,71572541,"10",1,NA,"AC025426.1",0,0,0,0,0,0,0,0
"ENSG00000222635","ENSG00000222635","RNU6-1203P",NA,"snRNA",48475102,48475211,"12",1,NA,"RNU6-1203P",0,0,0,0,0,0,0,0
"ENSG00000222636","ENSG00000222636","RN7SKP54",NA,"misc_RNA",100701580,100701848,"7",1,NA,"RN7SKP54",0,0,0,0,0,0,0,0
"ENSG00000222640","ENSG00000222640","RNU2-51P",NA,"snRNA",70827609,70827805,"14",1,NA,"RNU2-51P",2,1,1,0,2,0,1,0
"ENSG00000222643","ENSG00000222643","AL603632.1",NA,"miRNA",106780720,106780837,"13",1,NA,"AL603632.1",0,0,0,0,0,0,0,0
"ENSG00000222644","ENSG00000222644","RNU2-16P",NA,"snRNA",76750607,76750742,"4",-1,NA,"RNU2-16P",0,0,0,0,0,0,0,0
"ENSG00000222647","ENSG00000222647","AC002070.1",NA,"miRNA",120018597,120018700,"12",1,NA,"AC002070.1",0,0,0,0,0,0,0,0
"ENSG00000222649","ENSG00000222649","Y_RNA",NA,"misc_RNA",119379045,119379139,"6",1,NA,"Y_RNA",0,0,0,0,0,0,0,0
"ENSG00000222650","ENSG00000222650","RNU2-70P",NA,"snRNA",236431080,236431258,"1",1,NA,"RNU2-70P",0,0,0,0,0,0,0,0
"ENSG00000222651","ENSG00000222651","MIR1469",NA,"miRNA",96876490,96876536,"15",1,NA,"MIR1469",0,0,0,0,0,0,0,0
"ENSG00000222652","ENSG00000222652","RNU6-248P",NA,"snRNA",76802551,76802657,"6",1,NA,"RNU6-248P",0,0,0,0,0,0,0,0
"ENSG00000222658","ENSG00000222658","Y_RNA",NA,"misc_RNA",12885320,12885416,"9",1,NA,"Y_RNA",0,0,0,0,0,0,0,0
"ENSG00000222659","ENSG00000222659","RNU2-8P",NA,"snRNA",121901478,121901667,"6",-1,NA,"RNU2-8P",0,0,0,0,0,0,0,0
"ENSG00000222663","ENSG00000222663","RNU4-55P",NA,"snRNA",105695360,105695496,"11",1,NA,"RNU4-55P",0,0,0,0,0,0,0,0
"ENSG00000222664","ENSG00000222664","RN7SKP123",NA,"misc_RNA",93491809,93492099,"1",1,NA,"RN7SKP123",0,0,0,0,0,0,0,0
"ENSG00000222666","ENSG00000222666","U3",NA,"snoRNA",28696969,28697180,"10",-1,NA,"U3",0,0,0,0,0,0,0,0
"ENSG00000222667","ENSG00000222667","RNU6-394P",NA,"snRNA",65896100,65896206,"X",-1,NA,"RNU6-394P",0,0,0,0,0,0,0,0
"ENSG00000222670","ENSG00000222670","CU459211.1",NA,"miRNA",11451,11589,"GL000241.1",-1,NA,"CU459211.1",0,1,0,0,0,0,0,0
"ENSG00000222675","ENSG00000222675","RNA5SP146",NA,"rRNA",156891707,156891829,"3",-1,NA,"RNA5SP146",0,0,0,0,0,0,0,0
"ENSG00000222677","ENSG00000222677","AL513123.1",NA,"miRNA",113836189,113836285,"6",1,NA,"AL513123.1",0,0,0,0,0,0,0,0
"ENSG00000222678","ENSG00000222678","RN7SKP213",NA,"misc_RNA",220455409,220455706,"2",-1,NA,"RN7SKP213",0,0,0,0,0,0,0,0
"ENSG00000222679","ENSG00000222679","RNU6-1267P",NA,"snRNA",28615089,28615195,"17",-1,NA,"RNU6-1267P",0,1,0,0,0,0,0,0
"ENSG00000222682","ENSG00000222682","RNA5SP38",NA,"rRNA",106807721,106807839,"13",-1,NA,"RNA5SP38",0,0,0,0,0,0,0,0
"ENSG00000222683","ENSG00000222683","AC093004.1",NA,"miRNA",130088070,130088187,"3",-1,NA,"AC093004.1",0,0,0,0,0,0,0,0
"ENSG00000222685","ENSG00000222685","RN7SKP119",NA,"misc_RNA",47586644,47586916,"2",-1,NA,"RN7SKP119",0,0,0,0,0,0,0,0
"ENSG00000222686","ENSG00000222686","RNU4-72P",NA,"snRNA",86461299,86461471,"6",1,NA,"RNU4-72P",0,0,0,0,0,0,0,0
